id_tableau,titre_tableau,source,indicateurs,sexe,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Nombre d'écoles,"",3 193,3 358,3 549,3 665,3 913,4 035,4 141,4 211,4 254
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Salles de classe,"",22 856,24 390,26 423,27 219,30 082,31 446,33 176,42 898,35 712
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Personnel enseignant,"",36 557,39 441,41 181,43 744,46 887,47 949,49 354,50 256,51 051
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Elèves du fondamental,"",1 849 861,1 922 424,1 956 289,1 977 386,2 117 397,2 202 832,2 314 611,2 513 001,2 552 839
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Elèves du fondamental,feminin,918 827,963 171,984 114,1 000 586,1 072 598,1 114 944,1 171 156,1 279 674,1 300 135
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Elèves du fondamental,masculin,931 034,959 253,972 175,976 800,1 044 799,1 087 888,1 143 455,1 233 327,1 252 704
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Nombre d'élèves par classe,"",81,79,74,72,74,70,70,59,71
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Enseignants étrangers,"",334,198,339,172,296,175,302,183,198
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Ratio élèves/Maître,"",51,49,48,45,46,46,47,50,50
7.01,Principaux Renseignements de la Formation Fondamentale,Bureau de la Planification et des Statistiques de l'Education,Nouveaux inscrits,"",320 138,333 138,341 827,345 676,430 139,473 861,507 234,403 194,423 334
