id_tableau,titre_tableau,source,provinces,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Bubanza,150,186,222,230,230,230,234,237,234
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Cibitoke,203,213,232,243,254,257,269,279,279
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Bujumbura-Mairie,116,136,147,141,139,63,173,176,184
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Bururi,458,474,489,488,511,528,270,275,280
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Makamba,259,285,303,324,330,329,343,347,337
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Gitega,239,245,253,262,290,300,316,314,326
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Karuzi,136,149,158,166,177,176,189,190,192
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Muramvya,98,107,112,115,115,116,120,123,125
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Muyinga,177,185,187,191,208,213,220,221,227
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Kirundo,156,170,181,188,191,191,202,204,205
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Ngozi,179,196,203,200,219,219,229,236,240
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Kayanza,190,213,220,228,241,244,259,260,264
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Cankuzo,106,115,119,123,124,126,127,128,128
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Rutana,183,188,199,204,211,210,217,224,228
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Ruyigi,182,190,207,216,226,233,238,240,242
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Mwaro,109,109,118,122,115,133,140,147,145
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Bujumbura-Rural,249,272,292,303,319,321,261,269,273
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Rumonge,-,34,-,-,-,-,334,341,345
7.02,Répartition des Écoles du Fondamental par Province Scolaire,Bureau de la Planification et des Statistiques de l'Education,Total,3 190,3 391,3 599,3 665,3 913,3 889,4 141,4 211,4 254
