id_tableau,titre_tableau,source,province,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Bujumbura-rural,2 639,2 962,3 149,3 240,3 394,3 486,2 973,3 022,3 087
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Bubanza,1 432,1 715,1 838,1 961,2 032,2 113,2 244,2 237,2 237
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Cibitoke,1 978,2 161,2 294,2 336,2 441,2 440,2 595,2 658,2 633
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Bujumbura-Mairie,1 484,1 741,2 478,1 668,1 856,2 862,3 223,3 335,1 969
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Bururi,4 713,5 043,4 964,5 120,5 423,5 592,3 043,3 012,2 695
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Makamba,2 434,2 679,2 923,3 142,3 292,3 336,3 505,3 411,3 547
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Gitega,3 331,3 525,3 664,3 771,3 960,4 070,4 289,4 269,4 274
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Karuzi,1 524,1 682,1 776,1 949,2 079,2 087,2 139,2 191,2 227
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Muramvya,1 401,1 503,1 580,1 798,1 943,1 929,2 004,1 990,1 981
7.03,Répartition du Personnel Enseignant du Fondamental par Province,Bureau de la Planification et des Statistiques de l'Education,Muyinga,1 778,2 001,2 181,2 361,2 478,2 611,2 552,2 648,2 803
