id_tableau,titre_tableau,source,type_enseignement,sexe,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Lycées,"",33 336,37 589,51 760,-,-,-,179 417,368 886,182 651
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Lycées,masculin,21 264,25 420,33 168,-,-,-,99 448,185 533,94 951
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Lycées,feminin,12 072,12 169,18 592,-,-,-,79 969,183 353,87 700
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Lycées pédagogiques,"",5 013,4 352,3 670,-,-,-,34 715,-,41407
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Lycées pédagogiques,masculin,1 869,1 555,1 398,-,-,-,16 803,-,18463
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Lycées pédagogiques,feminin,3 144,2 797,2 272,-,-,-,17 912,-,22944
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Ens. technique et professionnel,"",9 504,10 168,12 141,14 055,-,-,51 587,70 443,68 831
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Ens. technique et professionnel,masculin,8 237,7 389,9 243,9 731,-,-,27 078,36 706,35 992
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Ens. technique et professionnel,feminin,2 705,2 779,2 898,4 324,-,-,24 509,33 737,32 839
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Collèges publics,"",14 980,15 544,15 232,-,-,-,-,-,-
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Collèges publics,masculin,9 621,10 044,9 766,-,-,-,-,-,-
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Collèges publics,feminin,5 359,5 500,5 466,-,-,-,-,-,-
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Collèges communaux,"",226 163,253 427,321 489,-,-,-,-,-,-
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Collèges communaux,masculin,129 842,144 223,179 660,-,-,-,-,-,-
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Collèges communaux,feminin,96 321,109 204,141 829,-,-,-,-,-,-
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Total général,"",288 966,321 080,402 733,-,-,-,265 719,439 329,292 889
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Total général,masculin,170 833,188 631,226 223,-,-,-,143 329,222 239,149 406
7.05,Effectifs d'Élèves de l'Enseignement Post-Fondamental par Type d'Enseignement,Bureau de la Planification et des Statistiques de l'Education,Total général,feminin,119 601,132 449,176 510,-,-,-,122 390,217 090,143 483
