id_tableau,titre_tableau,source,Type d'enseignement,sexe,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Lycées,"",56,196,132,-,-,-,540,290,8
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Lycées pédagogiques,"",7,0,1,-,-,-,4,3,3
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Collèges publics,"",41,40,59,-,-,-,-,-,-
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Collèges communaux et municipaux,"",212,193,834,-,-,-,-,-,-
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Enseignement technique et professionnel,"",6,6,9,-,-,-,581,483,274
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Lycées,masculin,28,48,61,-,-,-,265,153,4
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Lycées pédagogiques,masculin,2,0,1,-,-,-,3,0,1
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Collèges publics,masculin,17,22,26,-,-,-,-,-,-
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Collèges communaux et municipaux,masculin,111,96,421,-,-,-,-,-,-
7.06,Elèves Étrangers de l'Enseignement Post-Fondamental par Type d'Enseignement et par Sexe,Bureau de la Planification et des Statistiques de l'Education.,Enseignement technique et professionnel,masculin,1,2,4,-,-,-,236,249,127
