id_tableau,titre_tableau,source,categorie,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Maïs,120379,126412,128484,151748,162417,127829,160713,243740,228355,290498
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Blé,8583,9034,9789,3857,6422,5628,"","","",""
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Riz,78432,83019,91415,64629,41456,67377,38674,146633,77999,55671
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Sorgho,81176,83023,86856,31525,31452,22354,19868,29665,25532,28472
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Eleusine,10846,10846,10777,5468,1816,3084,"","","",""
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Haricot,202934,201551,199072,205945,225004,251761,282978,371892,430473,393233
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Igname,5644,3114,3107,6411,447,"","","","",""
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Pomme de terre,10615,9320,8838,47860,122899,181209,123711,145687,204891,302665
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Patate douce,484207,303432,299900,659596,836717,664217,580848,726048,519637,583019
9.01,Production des cultures vivrières en tonnes,MINAGRI/ENAB,Manioc,235369,187901,159743,1244597,2233790,2242352,2757583,2394982,2285265,2386710
