id_tableau,titre_tableau,source,categorie,sous-categorie,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2017-2018
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,NGOMA MILD,"","","",159,298,72.5,102,50,54,36,23
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,FW HG,33,19,118,"","","","","",337,"",39
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,FW AA,374,528,1279,199,789,202,817,589,7103,387,238
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,FZ15+,"","","","","","","","","",5999,7226
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,FW A,2776,1759,5985,979,465,2557,4216,2409,1624,1227,790
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,FW B,2210,706,3074,562,2311,1358,2082,972,776,527,828
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,FW TT,5984,961,3382,444,2638,952,1957,1151,2026,1066,""
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,FW T,5783,434,1710,351,1317,697,1254,921,809,361,441
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,FWSTOCKLOT,"","","","","","","","","",1704,2226
9.04,Production de café arabica vert par qualité et par campagne (en tonnes),ARFIC,FW,FWPBB,527,76,1173,"","","","","","","",""
