id_tableau,titre_tableau,source,categorie,sous-categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie plantée,"",1930,1930,1930,1930,1930,1940,1940,1940,1940,1968,1959
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie plantée,Teza,600,600,600,600,600,600,600,600,600,600,589
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie plantée,Rwegura,720,720,720,720,720,720,720,720,720,720,720
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie plantée,Tora,300,300,300,300,300,300,300,300,300,300,322
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie plantée,Buhoro,310,310,310,310,310,320,320,320,320,320,300
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie plantée,Usine théicole Prothem,"","","","","","","","","",28,28
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie en production,"",1614,1614,1614,1614,1595,1933,1885,1885,1885,1885,1931
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie en production,Teza,400,400,400,400,415,589,546,546,546,546,589
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie en production,Rwegura,652,652,652,652,658,720,720,720,720,720,720
9.10 ,Superficies plantées et Superficies en productions des blocs industriels (en ha),Office du Thé du Burundi (OTB)/Prothem,Superficie en production,Tora,272,272,272,272,273,327,322,322,322,322,322
