id_tableau,titre_tableau,source,categorie,sous-categorie,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche artisanale,"",5712.6,12660,16381,16716,11360,11982,7521,14795,18069,20245.4,17767,19056
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche artisanale,Ndagala,4042.1,11280,9796,11929,8336,11659,7407,8815,7995,8319,8638,6663
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche artisanale,Mukeke,1118.8,133,1160,833,662,319,110,524,1040,193.1,1067,991
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche artisanale,Sangala,1.8,1,1016,29,28,0,3,1,8,0.3,3,1
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche artisanale,Autres,10,36,4409,3925,4376,4,1,5455,9026,11733,8059,11401
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche coutumière,"",623.4,626,751,775,710,330,318,1218,2028,1560.2,1745,2226
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche coutumière,Ndagala,4.3,10,5,6,2,4,3,18,364,1,1,3
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche coutumière,Mukeke,4.3,1,23,8,218,34,22,316,818,462.2,933,872
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche coutumière,Sangala,8.2,12,11,5,178,25,9,9,52,21,53,60
9.15,Production de la pêche par type de poissons (en tonnes),Minagri/ Département de la Pêche et Pisciculture,Pêche coutumière,Autres,606.6,603,712,756,312,267,284,875,794,1076,758,1291
